video_id,person_id,session_id,split,start_time_s,end_time_s,action_name
per1_01_correct_20260917_144650_001,per1,01,train,0.0000,2.0667,idle
per1_01_correct_20260917_144650_001,per1,01,train,2.3333,5.4667,open_case
per1_01_correct_20260917_144650_001,per1,01,train,5.8667,9.3333,insert_first_earbud
per1_01_correct_20260917_144650_001,per1,01,train,9.6667,13.7333,insert_second_earbud
per1_01_correct_20260917_144650_001,per1,01,train,13.7333,16.0000,close_case
per1_01_correct_20260917_144728_002,per1,01,train,0.0000,2.0000,idle
per1_01_correct_20260917_144728_002,per1,01,train,2.1333,3.6000,open_case
per1_01_correct_20260917_144728_002,per1,01,train,4.3333,6.6000,insert_first_earbud
per1_01_correct_20260917_144728_002,per1,01,train,6.6000,8.6667,insert_second_earbud
per1_01_correct_20260917_144728_002,per1,01,train,8.6667,10.6667,close_case
per1_01_correct_20260917_144728_002,per1,01,train,10.8667,11.7333,idle
per1_01_correct_20260917_144748_003,per1,01,train,0.0000,1.9333,idle
per1_01_correct_20260917_144748_003,per1,01,train,1.9333,2.6667,open_case
